package_name,sdk
bubble.shooter.pop.shoot.puzzle,['Kochava']
by.lwo.oplati,['Kontakt']
ca.autotrader.userapp,['Salesforce Marketing Cloud']
ca.bell.selfserve.mybellmobile,"['Braze (formerly Appboy)', 'Demdex']"
ca.bellmedia.bnngo,"['mParticle', 'Demdex']"
ca.bellmedia.cp24,"['mParticle', 'Demdex']"
ca.bellmedia.cravetv,['Demdex']
ca.bellmedia.ctvnews,"['mParticle', 'Demdex']"
ca.bnc.android,['Demdex']
ca.cage.club,['Exponea']
ca.cbc.mobile.android.cbcnewsandroidwebview,['Demdex']
ca.ctv.ctvgo,['Demdex']
ca.indigo,"['Forter', 'Demdex']"
ca.lbcstudios.hempire,['Kochava']
ca.manulife.MobileBanking,['Demdex']
ca.nissan.nissanconnectservices,['Demdex']
ca.pcfinancial.bank,['Salesforce Marketing Cloud']
ca.qc.pacmusee.PAC,['AltBeacon']
ca.safeway.app,['Salesforce Marketing Cloud']
ca.shaw.android.selfserve,['Salesforce Marketing Cloud']
ca.telenium.rcrs.newfoundland.app,"['Sense360', 'Demdex']"
ca.tsn.mobile.android,"['mParticle', 'Braze (formerly Appboy)']"
ca.yukonminers.ycmportal,['AltBeacon']
cab.marcel.driver,['Salesforce Marketing Cloud']
call.blacklist.blocker,"['AppLovin (MAX and SparkLabs)', 'Google AdMob', 'Opensignal', 'cellrebel', 'Cuebiq']"
callid.name.announcer,"['Google AdMob', 'cellrebel', 'Cuebiq']"
callidentifier.record.voice,"['AppLovin (MAX and SparkLabs)', 'Google AdMob', 'Google DoubleClick', 'cellrebel', 'Opensignal', 'Cuebiq']"
capiratech.com.napervillemobile,['Estimote']
car.parking.games.master.jam.puzzle,['Kochava']
card.games.free.blackjack.twenty.one.black.jack,"['Kochava', 'AppLovin (MAX and SparkLabs)']"
carts.bastrop,['LeanPlum']
cat.catradio.eng,['Ad4Screen']
cat.esport3.eng,"['Google CrashLytics', 'Ad4Screen']"
cat.grupbonpreu.android.bonpreuesclat,['Salesforce Marketing Cloud']
cat.tv3.eng.tresac,['Ad4Screen']
cat.udl.asic.udlapp,['AltBeacon']
cats.baker,['LeanPlum']
cdiscount.mobile,['Ad4Screen']
cgd.pt.caixadirectaparticulares,['Salesforce Marketing Cloud']
cgifinance.application.mobile.vivacademie,['Estimote']
ch.allink.ChicApp,['Estimote']
ch.alpsoft.lescelliers,['AltBeacon']
ch.alpsoft.smallshop,['AltBeacon']
ch.alpsoft.swissworktime,['AltBeacon']
ch.axinova.footprints,['AltBeacon']
ch.coop.coopapp,['Salesforce Marketing Cloud']
ch.coop.supercard,['Salesforce Marketing Cloud']
ch.davos.prototype,['Ad4Screen']
ch.instaguard2.insta,['AltBeacon']
ch.kaisin,['mParticle']
ch.langenthalertagblatt.app,['Salesforce Marketing Cloud']
ch.sbb.inclusive,"['Sense360', 'Google CrashLytics', 'AltBeacon']"
ch.sbb.mobile.android.preview,['AltBeacon']
ch.sorba.ortung,['Kontakt']
ch.srgssr.playsuisse.tv,['Salesforce Marketing Cloud']
ch.tutti,['Salesforce Marketing Cloud']
ch.uzh.app.android,['Radius Networks']
chatellerault.rider,"['mParticle', 'LeanPlum']"
chicmusic.freeyoutubemusic.lovemusic,"['Google DoubleClick', 'Google AdMob', 'Kochava']"
cl.android,['Dynamic Yield']
cl.bci.app.personas,['Salesforce Marketing Cloud']
cl.bci.sismo.mach,"['Braze (formerly Appboy)', 'AltBeacon']"
cl.bcivida.bciseguros,['Exponea']
